ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_test_spikes,num_test_samples,precision,recall,f1,roc_auc,pr_auc
BX,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,3,86,0.027777777777777776,0.3333333333333333,0.05128205128205128,0.5742971887550201,0.11543585839360487
C,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,100,0.0,0.0,0.0,0.3434343434343434,0.015151515151515152
ABT,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,125,0.0,0.0,0.0,0.9112903225806451,0.08333333333333333
AMD,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,173,0.06818181818181818,0.6,0.12244897959183673,0.6523809523809524,0.07139024823285284
AMGN,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,77,0.1,0.5,0.16666666666666666,0.64,0.2681818181818182
AXP,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,85,0.0,0.0,0.0,0.7289156626506024,0.06703296703296703
BAC,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,105,0.125,0.5,0.2,0.6067961165048543,0.08441558441558442
BX,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,0,86,,,,,
C,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,0,100,,,,,
ABT,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,15,125,0.25,0.26666666666666666,0.25806451612903225,0.5042424242424243,0.16810194807128626
AMD,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,20,173,0.14492753623188406,0.5,0.2247191011235955,0.5199346405228757,0.14459920448418415
AMGN,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,77,0.0,0.0,0.0,0.272875816993464,0.08511795864595091
AXP,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,85,0.0,0.0,0.0,0.6103896103896105,0.13187868165975838
BAC,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,7,105,0.05555555555555555,0.14285714285714285,0.08,0.6122448979591837,0.09399441100781716
BX,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,12,86,0.2127659574468085,0.8333333333333334,0.3389830508474576,0.7725225225225224,0.4892093086946028
C,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,100,0.1,0.125,0.1111111111111111,0.6304347826086957,0.13976442391757568
ABT,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,125,0.07692307692307693,0.1111111111111111,0.09090909090909091,0.45114942528735635,0.07964523502902784
AMD,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,14,173,0.09803921568627451,0.35714285714285715,0.15384615384615385,0.554806828391734,0.1042501689277891
AMGN,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,77,0.0,0.0,0.0,0.27355072463768115,0.07730727127355254
AXP,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,85,0.0,0.0,0.0,0.6371308016877637,0.12599118597791795
